PRE_NO,UNIT,ROUTE,REASON,Longitude,Latitude
PW7J00356,PW7台灣自來水股份有限公司第四區管理處大里服務所,大興十街(3巷8號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7364081,24.15613614
PW7J00357,PW7台灣自來水股份有限公司第四區管理處大里服務所,建成街(319號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7289391,24.12946841
CG2J00066,CG2欣林天然氣股份有限公司,塗城路523號側巷口(塗城路523號側巷口),孔蓋異常，恐影響民眾安危,120.7056672,24.0875289
GW5J00494,GW5臺中市政府水利局(污水營運科),福科二路(逢明街路口),孔蓋異常，恐影響民眾安危,120.6361226,24.17763383
GW5J00495,GW5臺中市政府水利局(污水營運科),市政路(406號),孔蓋異常，恐影響民眾安危,120.6393543,24.1593049
PW4J01447,PW4台灣自來水股份有限公司第四區管理處台中給水廠,中華路(與公園路口),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6787476,24.147449
PW7J00371,PW7台灣自來水股份有限公司第四區管理處大里服務所,宜昌路(460號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7145209,24.14584287
PW7J00372,PW7台灣自來水股份有限公司第四區管理處大里服務所,中山路二段364巷(13號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7275654,24.15067002
CG4J00039,CG4欣彰天然氣股份有限公司豐原營業所,豐社一街47號(豐社一街55號),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.6986783,24.25082324
PTBJ02623,PTB台灣電力股份有限公司台中區營業處(維護組),振興路(與十甲東路口),孔蓋異常，恐影響民眾安危,120.704717,24.1305682
PW4J01608,PW4台灣自來水股份有限公司第四區管理處台中給水廠,振興路(412巷20號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7046352,24.12928726
CG1J00555,CG1欣中天然氣股份有限公司,臺灣大道四段(四段696號),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.6220609,24.1799635
PC2J00617,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,環中路一段(496號旁),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6947448,24.20147778
PTBJ02806,PTB台灣電力股份有限公司台中區營業處(維護組),忠明南路(757號),路面異常，恐影響民眾安危,120.6602452,24.1243495
CG2J00070,CG2欣林天然氣股份有限公司,光日路228號前(烏日社區活動中心前),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.6253618,24.10726224
CG1J00571,CG1欣中天然氣股份有限公司,南京東路三段35巷(33號前),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.6982075,24.16281955
PP2J00007,PP2台灣中油股份有限公司油品行銷事業部台中營業處(工務組),臨港路三段及向上路九段交叉口((綠帶區)),現場發現或接獲通報有油料外洩情形,120.5130687,24.22767084
PP2J00008,PP2台灣中油股份有限公司油品行銷事業部台中營業處(工務組),臨港路二段及向上路九段交叉口((綠帶區)),現場發現或接獲通報有油料外洩情形,120.5128421,24.22716563
PW4J01750,PW4台灣自來水股份有限公司第四區管理處台中給水廠,建德街(346巷18弄23號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6942791,24.12896998
PWCJ00254,PWC台灣自來水股份有限公司第四區管理處大雅營運所,昌平路四段(２８２南十三巷６３號前),孔蓋異常有聲響，恐影響用路人行車及民眾生活品質,120.678439,24.23007406
PC2J00697,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,昌平東二路右轉(西行)(崇德十二路口),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6874271,24.19054644
PTBJ03227,PTB台灣電力股份有限公司台中區營業處(維護組),中興路二段(426號),路面異常，恐影響民眾安危,120.6900303,24.10846419
PW4J01164,PW4台灣自來水股份有限公司第四區管理處台中給水廠,仁和路(248號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6828083,24.12632707
PWAJ00184,PWA台灣自來水股份有限公司第四區管理處清水營運所,鰲新三街(71號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.5519384,24.26780592
PTBJ02052,PTB台灣電力股份有限公司台中區營業處(維護組),惠弘街(南屯路二段口),孔蓋異常，恐影響民眾安危,120.6424426,24.13842013
PW7J00292,PW7台灣自來水股份有限公司第四區管理處大里服務所,成功路(452號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7254727,24.13051937
PTBJ02053,PTB台灣電力股份有限公司台中區營業處(維護組),大通街(向上路二段口),孔蓋異常，恐影響民眾安危,120.6416228,24.14688104
PTBJ02054,PTB台灣電力股份有限公司台中區營業處(維護組),福科二路(福科二路101巷口.往西約30公尺.G5249FD66),孔蓋異常，恐影響民眾安危,120.6357717,24.17686492
PC2J00460,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,福雅路81號(福雅路81號),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6188453,24.18491315
PW4J01165,PW4台灣自來水股份有限公司第四區管理處台中給水廠,瀋陽路二段(111號斜對面),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.682124,24.17370655
PWAJ00191,PWA台灣自來水股份有限公司第四區管理處清水營運所,鰲峰路(476之6號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.5524432,24.26547118
PT5J00084,PT5台灣電力股份有限公司台中區營業處,陽明街99號(陽明街99號),路面異常，恐影響民眾安危,120.7222449,24.24639975
PW4J01232,PW4台灣自來水股份有限公司第四區管理處台中給水廠,東山路一段(89之1號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.702356,24.17010415
PWFJ00028,PWF台灣自來水股份有限公司第四區管理處烏日營運所,五光路(復光一巷28號附近),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6428853,24.09583988
PW4J01233,PW4台灣自來水股份有限公司第四區管理處台中給水廠,南京路(64號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6925991,24.14020257
